Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='curvenet_cls', k=20, lr=0.001, model='curvenet_cls', model_path='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.553381, train acc: 0.519442, train avg acc: 0.363914
Test 76, loss: 1.503772, test acc: 0.911264, test avg acc: 0.869983
Train 77, loss: 1.468750, train acc: 0.938416, train avg acc: 0.904290
Test 77, loss: 1.496593, test acc: 0.909643, test avg acc: 0.883081
Train 78, loss: 1.463796, train acc: 0.938620, train avg acc: 0.904819
Test 78, loss: 1.478415, test acc: 0.921394, test avg acc: 0.881831
Train 79, loss: 1.456545, train acc: 0.944015, train avg acc: 0.914987
Test 79, loss: 1.487149, test acc: 0.916126, test avg acc: 0.884703
Train 80, loss: 1.455010, train acc: 0.943302, train avg acc: 0.913107
Test 80, loss: 1.495837, test acc: 0.911264, test avg acc: 0.888872
Train 81, loss: 1.453500, train acc: 0.943913, train avg acc: 0.913503
Test 81, loss: 1.478653, test acc: 0.920178, test avg acc: 0.885343
Train 82, loss: 1.457649, train acc: 0.943913, train avg acc: 0.915342
Test 82, loss: 1.474857, test acc: 0.925041, test avg acc: 0.895948
Train 83, loss: 1.458385, train acc: 0.939536, train avg acc: 0.907794
Test 83, loss: 1.484646, test acc: 0.917342, test avg acc: 0.891000
Train 84, loss: 1.449037, train acc: 0.946458, train avg acc: 0.917879
Test 84, loss: 1.495796, test acc: 0.903971, test avg acc: 0.864419
Train 85, loss: 1.449775, train acc: 0.948188, train avg acc: 0.920456
Test 85, loss: 1.481370, test acc: 0.916937, test avg acc: 0.881663
Train 86, loss: 1.447736, train acc: 0.945033, train avg acc: 0.914466
Test 86, loss: 1.474512, test acc: 0.918963, test avg acc: 0.880488
Train 87, loss: 1.447462, train acc: 0.945542, train avg acc: 0.917767
Test 87, loss: 1.484332, test acc: 0.914911, test avg acc: 0.885797
Train 88, loss: 1.447178, train acc: 0.945949, train avg acc: 0.918788
Test 88, loss: 1.486459, test acc: 0.910859, test avg acc: 0.872506
Train 89, loss: 1.442397, train acc: 0.950733, train avg acc: 0.926467
Test 89, loss: 1.474762, test acc: 0.927877, test avg acc: 0.894331
Train 90, loss: 1.444485, train acc: 0.947272, train avg acc: 0.919088
Test 90, loss: 1.478542, test acc: 0.919368, test avg acc: 0.892488
Train 91, loss: 1.438866, train acc: 0.951445, train avg acc: 0.925236
Test 91, loss: 1.485061, test acc: 0.916532, test avg acc: 0.879709
Train 92, loss: 1.435064, train acc: 0.950428, train avg acc: 0.924938
Test 92, loss: 1.464838, test acc: 0.923825, test avg acc: 0.887744
Train 93, loss: 1.434353, train acc: 0.953379, train avg acc: 0.929985
Test 93, loss: 1.494110, test acc: 0.919368, test avg acc: 0.884244
Train 94, loss: 1.434108, train acc: 0.951751, train avg acc: 0.926881
Test 94, loss: 1.499822, test acc: 0.903566, test avg acc: 0.880081
Train 95, loss: 1.433999, train acc: 0.950733, train avg acc: 0.925111
Test 95, loss: 1.473818, test acc: 0.916532, test avg acc: 0.886826
Train 96, loss: 1.429019, train acc: 0.952158, train avg acc: 0.924401
Test 96, loss: 1.481415, test acc: 0.908833, test avg acc: 0.877058
Train 97, loss: 1.424356, train acc: 0.955008, train avg acc: 0.931854
Test 97, loss: 1.471671, test acc: 0.914911, test avg acc: 0.874413
Train 98, loss: 1.423858, train acc: 0.953888, train avg acc: 0.932340
Test 98, loss: 1.466855, test acc: 0.923825, test avg acc: 0.884576
Train 99, loss: 1.425324, train acc: 0.955517, train avg acc: 0.932532
Test 99, loss: 1.468501, test acc: 0.918558, test avg acc: 0.884285
Train 100, loss: 1.422439, train acc: 0.955721, train avg acc: 0.933695
Test 100, loss: 1.474414, test acc: 0.921799, test avg acc: 0.890413
Train 101, loss: 1.416836, train acc: 0.959080, train avg acc: 0.939132
Test 101, loss: 1.466817, test acc: 0.926661, test avg acc: 0.890948
Train 102, loss: 1.416004, train acc: 0.958876, train avg acc: 0.937670
Test 102, loss: 1.461437, test acc: 0.919368, test avg acc: 0.882326
Train 103, loss: 1.412157, train acc: 0.960708, train avg acc: 0.939308
Test 103, loss: 1.475800, test acc: 0.915721, test avg acc: 0.891791
Train 104, loss: 1.416123, train acc: 0.958876, train avg acc: 0.937776
Test 104, loss: 1.455841, test acc: 0.921394, test avg acc: 0.889791
Train 105, loss: 1.414805, train acc: 0.957655, train avg acc: 0.936897
Test 105, loss: 1.462708, test acc: 0.924635, test avg acc: 0.893360
Train 106, loss: 1.412066, train acc: 0.959080, train avg acc: 0.939651
Test 106, loss: 1.459283, test acc: 0.921799, test avg acc: 0.885872
Train 107, loss: 1.408658, train acc: 0.957960, train avg acc: 0.935958
Test 107, loss: 1.452565, test acc: 0.924635, test avg acc: 0.894698
Train 108, loss: 1.406476, train acc: 0.959792, train avg acc: 0.938589
Test 108, loss: 1.470847, test acc: 0.916532, test avg acc: 0.892459
Train 109, loss: 1.400594, train acc: 0.962134, train avg acc: 0.942994
Test 109, loss: 1.460697, test acc: 0.922609, test avg acc: 0.884820
Train 110, loss: 1.401070, train acc: 0.963457, train avg acc: 0.944407
Test 110, loss: 1.460874, test acc: 0.918963, test avg acc: 0.885541
Train 111, loss: 1.400745, train acc: 0.962948, train avg acc: 0.943753
Test 111, loss: 1.457981, test acc: 0.919773, test avg acc: 0.892285
Train 112, loss: 1.399623, train acc: 0.962948, train avg acc: 0.944629
Test 112, loss: 1.456726, test acc: 0.920178, test avg acc: 0.889785
Train 113, loss: 1.400500, train acc: 0.962846, train avg acc: 0.944314
Test 113, loss: 1.452554, test acc: 0.924635, test avg acc: 0.894872
Train 114, loss: 1.392361, train acc: 0.966103, train avg acc: 0.948119
Test 114, loss: 1.453766, test acc: 0.919368, test avg acc: 0.885872
Train 115, loss: 1.394078, train acc: 0.964984, train avg acc: 0.947381
Test 115, loss: 1.453156, test acc: 0.927877, test avg acc: 0.897994
Train 116, loss: 1.389535, train acc: 0.968037, train avg acc: 0.950987
Test 116, loss: 1.454990, test acc: 0.916126, test avg acc: 0.885576
Train 117, loss: 1.388315, train acc: 0.969055, train avg acc: 0.954054
Test 117, loss: 1.450748, test acc: 0.927877, test avg acc: 0.890738
Train 118, loss: 1.390117, train acc: 0.966612, train avg acc: 0.950918
Test 118, loss: 1.444256, test acc: 0.927066, test avg acc: 0.895872
Train 119, loss: 1.384259, train acc: 0.969361, train avg acc: 0.952624
Test 119, loss: 1.459840, test acc: 0.920178, test avg acc: 0.900529
Train 120, loss: 1.384487, train acc: 0.969055, train avg acc: 0.952495
Test 120, loss: 1.452094, test acc: 0.925851, test avg acc: 0.897994
Train 121, loss: 1.378914, train acc: 0.972618, train avg acc: 0.958017
Test 121, loss: 1.451919, test acc: 0.923015, test avg acc: 0.891448
Train 122, loss: 1.380632, train acc: 0.970480, train avg acc: 0.955888
Test 122, loss: 1.452885, test acc: 0.924635, test avg acc: 0.893453
Train 123, loss: 1.379335, train acc: 0.971702, train avg acc: 0.955822
Test 123, loss: 1.455207, test acc: 0.914911, test avg acc: 0.884285
Train 124, loss: 1.380079, train acc: 0.971498, train avg acc: 0.957804
Test 124, loss: 1.449668, test acc: 0.927472, test avg acc: 0.895744
Train 125, loss: 1.375201, train acc: 0.973840, train avg acc: 0.959704
Test 125, loss: 1.442129, test acc: 0.927472, test avg acc: 0.895279
Train 126, loss: 1.373267, train acc: 0.972923, train avg acc: 0.958283
Test 126, loss: 1.445254, test acc: 0.929498, test avg acc: 0.895488
Train 127, loss: 1.371576, train acc: 0.973025, train avg acc: 0.962030
Test 127, loss: 1.452941, test acc: 0.924230, test avg acc: 0.890326
Train 128, loss: 1.370595, train acc: 0.974959, train avg acc: 0.962607
Test 128, loss: 1.457340, test acc: 0.921394, test avg acc: 0.888076
Train 129, loss: 1.367417, train acc: 0.974959, train avg acc: 0.962549
Test 129, loss: 1.481700, test acc: 0.912480, test avg acc: 0.888988
Train 130, loss: 1.364362, train acc: 0.976283, train avg acc: 0.964809
Test 130, loss: 1.450849, test acc: 0.925851, test avg acc: 0.894570
Train 131, loss: 1.363496, train acc: 0.976690, train avg acc: 0.965029
Test 131, loss: 1.440953, test acc: 0.930308, test avg acc: 0.901866
Train 132, loss: 1.359947, train acc: 0.978420, train avg acc: 0.967701
Test 132, loss: 1.443655, test acc: 0.927877, test avg acc: 0.902866
Train 133, loss: 1.359872, train acc: 0.978726, train avg acc: 0.967003
Test 133, loss: 1.448682, test acc: 0.928282, test avg acc: 0.894116
Train 134, loss: 1.359942, train acc: 0.979031, train avg acc: 0.969636
Test 134, loss: 1.437363, test acc: 0.927066, test avg acc: 0.895238
Train 135, loss: 1.357034, train acc: 0.978013, train avg acc: 0.966050
Test 135, loss: 1.442055, test acc: 0.925851, test avg acc: 0.898541
Train 136, loss: 1.356454, train acc: 0.977911, train avg acc: 0.967122
Test 136, loss: 1.437095, test acc: 0.928282, test avg acc: 0.891163
Train 137, loss: 1.356462, train acc: 0.978624, train avg acc: 0.967042
Test 137, loss: 1.445502, test acc: 0.923825, test avg acc: 0.892198
Train 138, loss: 1.354065, train acc: 0.980660, train avg acc: 0.970762
Test 138, loss: 1.443782, test acc: 0.924230, test avg acc: 0.892738
Train 139, loss: 1.349804, train acc: 0.982899, train avg acc: 0.973972
Test 139, loss: 1.438650, test acc: 0.932739, test avg acc: 0.905698
Train 140, loss: 1.351906, train acc: 0.980049, train avg acc: 0.970755
Test 140, loss: 1.444854, test acc: 0.923015, test avg acc: 0.893401
Train 141, loss: 1.346747, train acc: 0.983408, train avg acc: 0.974533
Test 141, loss: 1.436907, test acc: 0.928687, test avg acc: 0.904657
Train 142, loss: 1.348775, train acc: 0.981372, train avg acc: 0.971543
Test 142, loss: 1.437806, test acc: 0.928687, test avg acc: 0.899372
Train 143, loss: 1.347446, train acc: 0.981881, train avg acc: 0.971910
Test 143, loss: 1.439646, test acc: 0.930308, test avg acc: 0.901529
Train 144, loss: 1.345089, train acc: 0.982695, train avg acc: 0.973840
Test 144, loss: 1.440166, test acc: 0.932334, test avg acc: 0.896651
Train 145, loss: 1.341682, train acc: 0.984019, train avg acc: 0.975267
Test 145, loss: 1.435072, test acc: 0.929498, test avg acc: 0.895657
Train 146, loss: 1.343034, train acc: 0.983306, train avg acc: 0.975333
Test 146, loss: 1.429245, test acc: 0.932334, test avg acc: 0.900703
Train 147, loss: 1.340799, train acc: 0.984324, train avg acc: 0.977472
Test 147, loss: 1.427680, test acc: 0.933549, test avg acc: 0.909570
Train 148, loss: 1.339195, train acc: 0.985037, train avg acc: 0.977626
Test 148, loss: 1.431339, test acc: 0.933144, test avg acc: 0.903779
Train 149, loss: 1.336964, train acc: 0.981983, train avg acc: 0.973705
Test 149, loss: 1.438228, test acc: 0.929092, test avg acc: 0.895692
Train 150, loss: 1.336458, train acc: 0.985342, train avg acc: 0.976717
Test 150, loss: 1.435326, test acc: 0.930308, test avg acc: 0.901279
Train 151, loss: 1.334714, train acc: 0.987581, train avg acc: 0.981411
Test 151, loss: 1.436303, test acc: 0.932334, test avg acc: 0.902610
Train 152, loss: 1.333098, train acc: 0.986665, train avg acc: 0.979717
Test 152, loss: 1.435353, test acc: 0.931524, test avg acc: 0.903860
Train 153, loss: 1.330774, train acc: 0.986055, train avg acc: 0.979166
Test 153, loss: 1.436693, test acc: 0.927877, test avg acc: 0.901360
Train 154, loss: 1.332253, train acc: 0.987276, train avg acc: 0.980040
Test 154, loss: 1.430879, test acc: 0.930308, test avg acc: 0.902738
Train 155, loss: 1.328320, train acc: 0.989210, train avg acc: 0.982805
Test 155, loss: 1.436866, test acc: 0.931118, test avg acc: 0.903692
Train 156, loss: 1.328442, train acc: 0.988905, train avg acc: 0.983116
Test 156, loss: 1.431555, test acc: 0.929903, test avg acc: 0.901779
Train 157, loss: 1.327213, train acc: 0.987378, train avg acc: 0.980523
Test 157, loss: 1.434253, test acc: 0.929903, test avg acc: 0.897110
Train 158, loss: 1.324947, train acc: 0.988192, train avg acc: 0.982681
Test 158, loss: 1.432485, test acc: 0.929092, test avg acc: 0.903157
Train 159, loss: 1.325103, train acc: 0.989108, train avg acc: 0.983978
Test 159, loss: 1.431041, test acc: 0.931118, test avg acc: 0.903238
Train 160, loss: 1.323563, train acc: 0.989007, train avg acc: 0.982647
Test 160, loss: 1.430821, test acc: 0.934765, test avg acc: 0.908698
Train 161, loss: 1.323121, train acc: 0.989312, train avg acc: 0.983739
Test 161, loss: 1.441819, test acc: 0.927066, test avg acc: 0.907157
Train 162, loss: 1.322691, train acc: 0.989007, train avg acc: 0.983063
Test 162, loss: 1.431337, test acc: 0.929903, test avg acc: 0.900698
Train 163, loss: 1.319016, train acc: 0.990533, train avg acc: 0.985634
Test 163, loss: 1.432316, test acc: 0.931118, test avg acc: 0.902244
Train 164, loss: 1.319565, train acc: 0.991144, train avg acc: 0.986828
Test 164, loss: 1.430837, test acc: 0.932739, test avg acc: 0.903651
Train 165, loss: 1.318858, train acc: 0.989312, train avg acc: 0.984123
Test 165, loss: 1.429921, test acc: 0.933549, test avg acc: 0.907733
Train 166, loss: 1.318777, train acc: 0.991857, train avg acc: 0.988386
Test 166, loss: 1.432584, test acc: 0.929498, test avg acc: 0.900779
Train 167, loss: 1.317654, train acc: 0.991857, train avg acc: 0.988875
Test 167, loss: 1.430880, test acc: 0.933144, test avg acc: 0.910116
Train 168, loss: 1.319869, train acc: 0.990432, train avg acc: 0.986232
Test 168, loss: 1.427063, test acc: 0.930713, test avg acc: 0.901360
Train 169, loss: 1.315010, train acc: 0.990941, train avg acc: 0.987576
Test 169, loss: 1.428392, test acc: 0.932739, test avg acc: 0.907448
Train 170, loss: 1.317478, train acc: 0.989821, train avg acc: 0.984052
Test 170, loss: 1.430019, test acc: 0.933955, test avg acc: 0.905238
Train 171, loss: 1.313504, train acc: 0.990737, train avg acc: 0.986832
Test 171, loss: 1.431467, test acc: 0.929092, test avg acc: 0.899907
Train 172, loss: 1.313151, train acc: 0.991958, train avg acc: 0.987459
Test 172, loss: 1.430627, test acc: 0.931929, test avg acc: 0.906616
Train 173, loss: 1.314448, train acc: 0.992366, train avg acc: 0.988977
Test 173, loss: 1.427643, test acc: 0.934765, test avg acc: 0.903820
Train 174, loss: 1.312394, train acc: 0.991755, train avg acc: 0.987276
Test 174, loss: 1.426035, test acc: 0.937601, test avg acc: 0.909692
Train 175, loss: 1.310919, train acc: 0.992976, train avg acc: 0.989202
Test 175, loss: 1.429768, test acc: 0.933955, test avg acc: 0.905605
Train 176, loss: 1.312709, train acc: 0.989719, train avg acc: 0.984540
Test 176, loss: 1.426275, test acc: 0.934360, test avg acc: 0.904692
Train 177, loss: 1.311465, train acc: 0.991348, train avg acc: 0.986551
Test 177, loss: 1.426634, test acc: 0.932334, test avg acc: 0.907360
Train 178, loss: 1.309833, train acc: 0.992875, train avg acc: 0.989316
Test 178, loss: 1.424590, test acc: 0.935170, test avg acc: 0.910110
Train 179, loss: 1.310258, train acc: 0.992569, train avg acc: 0.989121
Test 179, loss: 1.424937, test acc: 0.937601, test avg acc: 0.912442
Train 180, loss: 1.308947, train acc: 0.992264, train avg acc: 0.988018
Test 180, loss: 1.428859, test acc: 0.933549, test avg acc: 0.909738
Train 181, loss: 1.308764, train acc: 0.993078, train avg acc: 0.989643
Test 181, loss: 1.426770, test acc: 0.936791, test avg acc: 0.912360
Train 182, loss: 1.307551, train acc: 0.993689, train avg acc: 0.990697
Test 182, loss: 1.426205, test acc: 0.933144, test avg acc: 0.905820
Train 183, loss: 1.307422, train acc: 0.992976, train avg acc: 0.989260
Test 183, loss: 1.425178, test acc: 0.934360, test avg acc: 0.908610
Train 184, loss: 1.307873, train acc: 0.992976, train avg acc: 0.989615
Test 184, loss: 1.425414, test acc: 0.936386, test avg acc: 0.909860
Train 185, loss: 1.307086, train acc: 0.994401, train avg acc: 0.991288
Test 185, loss: 1.425438, test acc: 0.935981, test avg acc: 0.910610
Train 186, loss: 1.306580, train acc: 0.994605, train avg acc: 0.991875
Test 186, loss: 1.424439, test acc: 0.934765, test avg acc: 0.905738
Train 187, loss: 1.307236, train acc: 0.993282, train avg acc: 0.990312
Test 187, loss: 1.423681, test acc: 0.935170, test avg acc: 0.905151
Train 188, loss: 1.305860, train acc: 0.994401, train avg acc: 0.991438
Test 188, loss: 1.427231, test acc: 0.933549, test avg acc: 0.903151
Train 189, loss: 1.305664, train acc: 0.994401, train avg acc: 0.991963
